Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
0,0,0,0,0,0,-1.542892291,0
0.5,0.06,0.04,-0.02,-0,-0.014,-3.797893258,-3.79780510777514
1,0.16,0.14,0.1,0.16,-0.008,0.7524558213,0.742854331423426
1.5,0.22,0.3,0.36,0.42,-0.024,0.4148978505,1.14781318794084
2,0.5,0.52,0.52,0.64,-0.0318,-0.5568027645,0.444541637298268
2.5,0.74,0.7,0.78,0.78,-0.011,0.5167194414,0.97910569779922
3,0.98,1,1.02,1.04,0.0018,0.3166329071,1.27333123620362
3.5,1.14,1.16,1.16,1.16,-0.0122,1.111880414,1.551922733693
4,1.24,1.26,1.3,1.36,-0.0298,-3.369979983,-0.512026946944602
4.5,1.3,1.24,1.3,1.22,-0.0094,-0.4772283428,-0.367313580821555
5,1.24,1.18,1.22,1.22,-0.0058,-0.2534171881,-0.131808206604167
5.5,1.32,1.2,1.44,1.2,-0.0152,0.6497443109,0.153481254390178
6,1.28,1.2,1.44,1.3,-0.0246,-1.791630201,-0.620419911068981
6.5,1.2,1.34,1.36,1.34,-0.0148,2.774989593,0.441922147863091
7,1.14,1.18,1.24,1.28,-0.0092,-0.7101913623,0.307796024685977
7.5,1.18,1.22,1.3,1.34,-0.0106,1.390454435,0.775406362963175
8,1.26,1.22,1.32,1.3,-0.0036,-2.335209994,0.177896480064218
8.5,1.22,1.18,1.4,1.26,-0.0078,-2.759249961,-0.552992312479217
9,1.2,1.24,1.28,1.26,-0.0104,-1.74049108,-0.922609780122872
9.5,1.24,1.2,1.32,1.34,-0.0012,7.057184779,1.48351967032548
10,1.26,1.22,1.28,1.28,-0.0074,3.352186932,2.25325364875145
10.5,1.18,1.3,1.2,1.32,-0.0184,1.428251974,2.07757321488789
11,1.2,1.16,1.26,1.2,-0.0228,1.503775517,1.85547671874286
11.5,1.22,1.24,1.24,1.36,-0.0226,-0.122233788,1.22370718866021
12,1.2,1.26,1.24,1.28,-0.0194,-0.1586778482,0.769045590588448
12.5,1.3,1.26,1.32,1.28,-0.0094,0.4032885675,0.768444703387969
